date,predicted_trend,actual_trend,predicted_rate,actual_rate

2021-06-20 13:56:01,Down,Down,0.014507,0.000157

2021-06-20 13:56:17,Down,Up,0.001638,0.0

2021-06-20 13:57:01,Down,Down,0.00665,9e-05

2021-06-20 13:58:01,Up,Down,0.003611,6.2e-05

2021-06-20 13:59:01,Up,Up,0.000974,0.000225

2021-06-20 13:59:17,Up,Up,0.007074,0.000927

2021-06-20 14:00:01,Up,Down,0.012417,5e-05

2021-06-20 14:00:17,Down,Up,0.002955,0.0

2021-06-20 14:01:01,Down,Down,0.006822,0.000353

2021-06-20 14:01:17,Down,Up,0.004362,0.0

2021-06-20 14:01:33,Down,Up,0.003585,0.0

2021-06-20 14:02:01,Up,Down,0.010019,0.000442

2021-06-20 14:03:01,Down,Up,0.002277,0.00061

2021-06-20 14:03:33,Down,Up,0.005634,0.0

2021-06-20 14:04:17,Down,Up,0.016733,0.0

2021-06-20 14:05:01,Down,Up,0.000742,0.000503

2021-06-20 14:05:17,Up,Up,0.008934,0.0

2021-06-20 14:06:01,Down,Up,0.008649,0.000295

2021-06-20 14:06:17,Up,Up,0.017405,0.0

2021-06-20 14:07:01,Down,Down,0.003413,4e-06

2021-06-20 14:07:18,Up,Up,0.004938,0.0

2021-06-20 14:08:01,Up,Down,0.002683,0.000302

2021-06-20 14:08:17,Up,Up,0.048624,0.0

2021-06-20 14:08:34,Up,Up,0.00317,0.0

2021-06-20 14:08:52,Down,Up,0.00914,0.0

2021-06-20 14:09:08,Up,Up,0.003203,0.0

2021-06-20 14:09:41,Down,Up,0.001498,0.0

2021-06-20 14:09:58,Down,Up,0.002095,0.0

2021-06-20 14:10:17,Down,Down,0.002433,0.000719

2021-06-20 14:10:35,Down,Up,0.004197,0.0

2021-06-20 14:11:09,Up,Up,0.001458,0.0

2021-06-20 14:12:03,Up,Up,0.045204,0.0

2021-06-20 14:12:21,Up,Up,0.030167,0.0

2021-06-20 14:12:40,Up,Up,0.002479,0.0

2021-06-20 14:13:01,Down,Up,0.00326,0.0

2021-06-20 14:13:22,Down,Up,0.023261,0.0

2021-06-20 14:14:01,Down,Up,0.005963,0.000197

2021-06-20 14:14:18,Up,Up,0.000434,0.0

2021-06-20 14:14:38,Down,Up,0.018244,0.0

2021-06-20 14:15:01,Down,Up,0.01848,0.0

2021-06-20 14:15:20,Up,Up,0.034972,0.0

2021-06-20 14:16:01,Down,Up,0.008047,0.0

2021-06-20 14:16:19,Down,Up,0.005994,0.0

2021-06-20 14:16:55,Down,Up,0.001197,0.0

2021-06-20 14:17:12,Down,Up,4.7e-05,0.0

2021-06-20 14:18:05,Down,Up,0.000231,0.0

2021-06-20 14:18:25,Down,Up,5.4e-05,0.0

2021-06-20 14:19:01,Down,Down,0.01047,0.000128

2021-06-20 14:20:21,Down,Up,0.005228,0.0

2021-06-20 14:20:38,Down,Up,0.003632,0.0

2021-06-20 14:21:01,Down,Up,0.014343,0.0

2021-06-20 14:21:19,Down,Up,0.070614,0.0

2021-06-20 14:21:38,Up,Up,0.013784,0.0

2021-06-20 14:21:56,Down,Up,0.017506,0.0

2021-06-20 14:22:12,Up,Up,0.073291,0.0

2021-06-20 14:22:31,Down,Up,0.011431,0.0

2021-06-20 14:23:07,Down,Up,0.001298,0.0

2021-06-20 14:23:25,Down,Up,0.0045,0.0

2021-06-20 14:24:19,Down,Up,0.004085,0.0

2021-06-20 14:24:38,Down,Up,0.00116,0.0

2021-06-20 14:25:01,Up,Down,0.014862,0.000794

2021-06-20 14:25:20,Up,Up,0.031621,0.0

2021-06-20 14:26:19,Down,Up,0.003061,0.0

2021-06-20 14:26:36,Down,Up,0.003538,0.0

2021-06-20 14:27:01,Down,Down,0.00967,0.000106

2021-06-20 14:27:18,Up,Up,0.021113,0.0

2021-06-20 14:28:01,Down,Up,0.017144,0.000188

2021-06-20 14:28:20,Down,Up,0.024381,0.0

2021-06-20 14:29:01,Down,Down,0.027628,0.000449

2021-06-20 14:30:01,Down,Down,0.004475,0.000303

2021-06-20 14:30:20,Up,Up,0.017948,0.0

2021-06-20 14:30:37,Up,Up,0.00801,0.0

2021-06-20 14:31:01,Down,Down,0.024412,0.000419

2021-06-20 14:31:18,Up,Up,0.007587,0.0

2021-06-20 14:32:01,Down,Up,0.004149,0.000548

2021-06-20 14:32:20,Down,Up,0.007495,0.0

2021-06-20 14:33:01,Up,Down,0.001939,2e-06

2021-06-20 14:33:18,Down,Up,0.001859,0.0

2021-06-20 14:34:01,Down,Down,0.011487,0.000543

2021-06-20 14:35:01,Up,Down,0.003914,0.000127

2021-06-20 14:35:18,Down,Up,0.024042,0.0

2021-06-20 14:35:36,Down,Up,0.002124,0.0

2021-06-20 14:36:19,Down,Up,0.002777,0.0

2021-06-20 14:37:01,Down,Up,0.007794,0.000888

2021-06-20 14:37:18,Up,Up,0.006674,0.0

2021-06-20 14:38:20,Up,Up,0.008051,0.0

2021-06-20 14:39:18,Up,Up,0.001689,0.000152

2021-06-20 14:40:20,Down,Up,0.012258,0.0

2021-06-20 14:41:01,Up,Up,0.000607,0.0

2021-06-20 14:41:19,Down,Up,0.015974,0.0

2021-06-20 14:42:14,Up,Up,0.001151,0.0

2021-06-20 14:43:01,Up,Down,0.000857,0.000225

2021-06-20 14:43:20,Up,Up,0.005201,0.0

2021-06-20 14:43:39,Up,Up,0.004758,0.0

2021-06-20 14:43:57,Up,Up,0.000421,0.0

2021-06-20 14:44:15,Up,Up,0.006579,0.0

2021-06-20 14:44:36,Up,Up,0.047956,0.0

2021-06-20 14:45:01,Up,Up,0.029485,0.0

2021-06-20 14:45:19,Up,Up,0.00679,0.0

2021-06-20 14:46:14,Down,Up,0.002642,0.0

2021-06-20 14:46:37,Down,Up,0.001452,0.0

2021-06-20 14:48:48,Down,Up,0.000539,0.0

