date,predicted_trend,actual_trend,predicted_rate,actual_rate

2021-06-18 17:57:01,Down,Up,0.002685,0.000486

2021-06-18 17:58:01,Down,Down,0.002907,0.00032

2021-06-18 17:59:01,Up,Down,0.020823,0.00042

2021-06-18 18:01:01,Up,Up,0.011465,0.002471

2021-06-18 18:03:01,Up,Up,0.003472,0.000337

2021-06-18 18:05:01,Up,Down,0.029726,0.000142

2021-06-18 18:07:01,Up,Up,0.010275,0.001438

2021-06-18 18:09:01,Down,Down,0.009264,0.001072

2021-06-18 18:11:01,Down,Up,0.002598,0.000266

2021-06-18 18:13:01,Down,Up,0.000198,0.000832

2021-06-18 18:14:01,Down,Up,0.000544,0.000105

2021-06-18 18:14:56,Down,Down,0.007752,0.000158

2021-06-18 18:17:01,Up,Down,0.008036,0.0003

2021-06-18 18:19:01,Up,Down,0.010559,0.001157

2021-06-18 18:21:01,Down,Down,0.023382,0.000597

2021-06-18 18:23:01,Down,Down,0.009011,0.000446

2021-06-18 18:25:01,Down,Down,0.003574,0.001457

2021-06-18 18:26:05,Down,Down,0.003115,0.000102

2021-06-18 18:27:01,Up,Up,0.001499,0.00016

2021-06-18 18:28:01,Up,Up,0.007396,4.9e-05

2021-06-18 18:29:05,Up,Down,0.006123,9e-05

2021-06-18 18:30:03,Up,Down,0.006211,0.000256

2021-06-18 18:32:01,Up,Up,0.006103,0.001093

2021-06-18 18:34:01,Down,Down,0.008165,0.001332

2021-06-18 18:36:01,Down,Up,0.003584,0.000354

2021-06-18 18:38:01,Down,Down,0.01618,0.0014

2021-06-18 18:41:01,Down,Down,0.011104,0.000438

2021-06-18 18:43:01,Down,Up,0.022326,0.000253

2021-06-18 18:46:01,Down,Up,0.000842,0.000919

2021-06-18 18:48:01,Up,Down,0.00248,0.002628

2021-06-18 18:51:01,Down,Up,0.010776,0.00165

2021-06-18 18:54:01,Down,Up,0.001692,0.000264

2021-06-18 18:57:01,Up,Up,0.002013,0.001008

2021-06-18 18:59:01,Up,Up,0.018388,0.000172

2021-06-18 19:02:01,Down,Up,0.003993,0.002171

