date,predicted_trend,actual_trend,predicted_rate,actual_rate


2021-06-20 16:04:01,Down,Up,0.021779,0.0
2021-06-20 16:04:24,Down,Up,0.010807,0.0
2021-06-20 16:05:29,Up,Up,0.003219,0.0
2021-06-20 16:07:01,Down,Up,0.00376,0.00016
2021-06-20 16:09:01,Up,Down,0.014501,0.000834
2021-06-20 16:10:01,Down,Down,0.021354,6e-05
2021-06-20 16:11:01,Up,Down,0.00526,5e-05
2021-06-20 16:13:01,Down,Up,0.007857,7.5e-05
2021-06-20 16:14:26,Up,Down,0.003999,0.000144
2021-06-20 16:14:51,Up,Up,0.001684,0.0
2021-06-20 16:16:01,Down,Up,0.038009,0.0
2021-06-20 16:16:50,Up,Up,0.004242,0.0
2021-06-20 16:17:13,Up,Up,0.00694,0.0
2021-06-20 16:17:34,Up,Up,0.021093,0.0
2021-06-20 16:18:01,Down,Up,0.004415,0.0
2021-06-20 16:19:01,Up,Up,0.001796,0.00053
2021-06-20 16:20:01,Up,Down,0.007984,0.000183
2021-06-20 16:22:01,Up,Down,0.011739,0.001265
2021-06-20 16:23:01,Up,Down,0.00944,0.000624
2021-06-20 16:24:01,Up,Up,0.007664,0.000732
2021-06-20 16:25:01,Down,Up,0.008846,0.001061
2021-06-20 16:26:01,Up,Down,0.003047,0.000841
2021-06-20 16:28:01,Up,Up,0.000389,6.9e-05
2021-06-20 16:30:01,Down,Down,0.011412,0.000434
2021-06-20 16:31:01,Down,Up,0.004451,0.000236
2021-06-20 16:32:01,Down,Up,0.02006,0.001197
2021-06-20 16:34:01,Down,Down,0.011698,0.000164
2021-06-20 16:36:01,Down,Up,0.008458,0.000448
2021-06-20 16:38:01,Up,Down,0.007117,0.000329
2021-06-20 16:39:01,Down,Up,0.01309,0.000167
2021-06-20 16:40:01,Down,Up,0.001034,0.0
2021-06-20 16:40:23,Down,Up,2.8e-05,0.0
2021-06-20 16:42:01,Down,Up,0.016068,0.000486
2021-06-20 16:43:01,Down,Down,0.016753,0.000531
2021-06-20 16:44:01,Down,Down,0.003167,4.7e-05
2021-06-20 16:46:01,Down,Up,0.006534,0.000586
2021-06-20 16:46:29,Down,Up,0.007185,0.0
2021-06-20 16:49:01,Down,Down,0.011305,0.000175
2021-06-20 16:50:24,Down,Up,0.001643,0.0
2021-06-20 16:51:01,Down,Up,0.01237,0.00036
2021-06-20 16:52:01,Down,Down,0.004511,0.000422
2021-06-20 16:53:01,Down,Down,0.013117,0.000197
2021-06-20 16:54:01,Up,Up,0.001307,0.000182
2021-06-20 16:55:01,Down,Down,0.011129,6.4e-05
2021-06-20 16:55:24,Down,Up,0.015184,0.0
2021-06-20 16:57:01,Down,Down,0.000566,0.001323
2021-06-20 16:58:01,Down,Down,0.007232,0.000147
2021-06-20 16:59:01,Up,Down,0.006151,0.000764
2021-06-20 17:00:01,Up,Down,0.00249,7.5e-05
2021-06-20 17:01:01,Down,Down,0.005362,0.00025
2021-06-20 17:02:01,Down,Down,0.016694,0.000635
2021-06-20 17:03:01,Down,Down,0.004449,0.001636
2021-06-20 17:05:01,Down,Up,0.015312,0.001302
2021-06-20 17:06:01,Down,Up,0.004163,0.00072
